MICA,4
DAVENPORT,4
GRAND COULEE,4
UNDERWOOD,4
WILKESON,4
CONNELL,3
WATERVILLE,3
GLENWOOD,3
SAN DIEGO,3
TIETON,3
WARDEN,3
WAPATO,3
ENDICOTT,3
SILVER CREEK,3
SHAW ISLAND,3
SEKIU,3
CLEARLAKE,3
ROYAL CITY,3
BUCODA,3
USK,3
VALLEY,3
RIVERSIDE,3
TOKELAND,3
ASHFORD,3
TEKOA,2
SPANGLE,2
MILLWOOD,2
SOUTH BEND,2
COSMOPOLIS,2
CURLEW,2
SOUTH PRAIRIE,2
HOBART,2
MOCLIPS,2
VIRGINIA BEACH,2
CURTIS,2
FORT LEWIS,2
MCCHORD AFB,2
CARBONADO,2
FORD,2
SOUTHWORTH,2
GRAYLAND,2
ROCK ISLAND,2
MESA,2
RICE,2
NORTH BONNEVILLE,2
CHINOOK,2
PATEROS,2
FAIRCHILD AIR FORCE BASE,2
THORP,2
UNION GAP,2
TOUCHET,2
NOOKSACK,2
ETHEL,2
SKYKOMISH,2
ROSLYN,2
ALEXANDRIA,2
GARFIELD,2
ELECTRIC CITY,2
PE ELL,2
MINERAL,2
TOWNSEND,2
COLORADO SPRINGS,2
FRUITLAND,2
BEAVER,2
AMANDA PARK,2
GROVER BEACH,2
GRANGER,2
COLTON,1
PARKLAND,1
NEW ATHENS,1
LILLIWAUP,1
MARBLEMOUNT,1
SKAMOKAWA,1
UNIVERSITY,1
ELTOPIA,1
MANSFIELD,1
EDWALL,1
COPALIS CROSSING,1
SILVER SPRING,1
OCEAN CITY,1
SAINT JOHN,1
POMEROY,1
DEER MEADOWS,1
ROSALIA,1
ANATONE,1
KITTITAS,1
EDGEWATER,1
ROCKPORT,1
MONTGOMERY,1
WISHRAM,1
ROCKFORD,1
KLICKITAT,1
WALDRON,1
CHESAPEAKE,1
COPALIS BEACH,1
WAHKIACUS,1
FAIRFIELD,1
CONWAY,1
CINEBAR,1
PORTLAND,1
DOBBINS AFB,1
FARMINGTON,1
PAWCATUCK,1
SOUTH HILL,1
JOINT BASE MDL,1
SEVEN BAYS,1
LULA,1
BAINBRIDGE IS,1
BAY CENTER,1
HARRINGTON,1
ANNANDALE,1
DOTY,1
SPRINGDALE,1
LAMONT,1
WALDORF,1
BARING,1
LANCASTER,1
GEORGE,1
OAK RIDGE,1
ALPHARETTA,1
SAN ANTONIO,1
MENLO,1
FAIRFAX,1
PALISADES,1
METHOW,1
ADDY,1
GIFFORD,1
NAPAVINE,1
